;Index;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;id;days
0;39;Backend разработчик (.NET);Москва;150000.0;260000.0;Эверис, Представительство;2019-11-20T09:50:45+0300;3;6;Гибкий график;Полная занятость;"В подразделение французской компании, специализирующейся на разработке программного обеспечения требуется Backend разработчик (.NET). Компания Everys (Франция) существует с 1994 года. Сейчас компания входит в тройку основных игроков на своём рынке. Профиль компании - разработка программного обеспечения для автоматизации аптек. Основной продукт - программно-аппаратный комплекс WinPharma - используется в более чем в 4800 аптек только во Франции. Также наш продукт популярен во франкоговорящих странах Африки, Новой Каледонии, Полинезии, Мартинике. Требования  Высшее техническое образование Твердые знания .NET, С#, JavaScript Хорошее знание структуры клиент-серверных приложений Желательно опыт разработки web-приложений Желательно знание MS SQL Server, принципов БД (типа Oracle, MySQL, MS SQL и т.п.)  Плюсами будут  Базовые знания языка С++ Базовый уровень французского языка или желание его изучить  Обязанности  Создание гибридных приложений (web+desktop) Разработка программных компонентов для продуктов и сервисов компании  Условия  Интересная работа, возможность профессионального роста; Тихий и светлый офис, 4 минуты пешком от м.Серпуховская, 10 от м.Павелецкая; Гибкий график (в плане начала и конца рабочего дня); ТК РФ, 100% белая заработная плата + премии; Медицинская страховка, страховка для выезжающих за рубеж, дотация на питание, дополнительный отпуск; Бесплатное обучение французскому языку, корпоративные скидки на изучение английского. ";;Высшее техническое образование. Твердые знания .NET, С#, JavaScript. Хорошее знание структуры клиент-серверных приложений. Желательно опыт разработки web-приложений. ;Создание гибридных приложений (web+desktop). Разработка программных компонентов для продуктов и сервисов компании.;" SQL;C#; Git; C#; .NET Framework";5;15.0
1;31;Senior Full-Stack Developer (C#, MS-SQL, Javascript);Санкт-Петербург;180000.0;250000.0;TradeTheNews.com;2019-11-19T23:02:21+0300;6;0;Удаленная работа;Полная занятость;"Remote Senior Full-Stack Developer (C#, MS-SQL, Javascript)   Required work experience: more than 8 years, fluent oral English is obligatoryFull time, remote work from homeTradeTheNews.com - financial news analysis company, invites 2-3 new employees. Majority of people in our team speak two languages: Russian and English. That is a good opportunity to improve your skills of working on the challenging projects.Note: You will work directly with the company founder and his engineering team. The company works 24 hours/6 days a week and provide services to clients based in more than 100 countries all over the world. We are able to adjust to your working schedule, if will find a right candidate. You will work using the most modern technologies making outstanding and significant things for our grateful clients; youre going to cooperate with energetic, smart and goal-seeking technical specialists. Opportunity to work during the whole project life cycle.Required skills:  Experience in web development, including ASP.NET MVC and Webapi; Multi-threading development deep understanding; In-depth knowledge of modern JavaScript, including React framework; Experience with ElectronJS, including C#; Experience with modern HTML and CSS.  Bonus skills:  Experience with web real-time pushing technologies like websocket, SignalR; Experience with Elastic Search.  Required experience:  Professional development experience with .Net and C# language 5+ years of JavaScript  web-development Experience with relational database design and development (SQL, MSSQL) EDUCATION: Degree of computer science / higher mathematics or other natural science preferred, Master or PHD degree is welcomed. Fluent oral and written English is obligatory  Responsibilities:  Work in the group on a global level. You should be responsible, passionate and active person, who wants to be a part of an elite team in creation new solutions to change and reinvent the way the world works.    APPLY: If your skills match the requirements for this challenging opportunity, please send us your resume today! Please do not apply if you dont have the required experience.";;"5+ years of JavaScript &amp; web-<highlighttext>development</highlighttext>. Experience with relational database design and <highlighttext>development</highlighttext> (SQL, MSSQL). EDUCATION: Degree of computer...";;"C#; CSS; HTML; SPA frameworks; .NET Framework; SQL; MS SQL; Webapi; Typescript; ReactJS; websocket; JavaScript; ASP.NET; SignalR; MVC";8;15.0
2;63;Старший Web-разработчик .Net Core + Angular / React;Санкт-Петербург;180000.0;250000.0;Alloy Software Inc.;2019-11-19T13:11:08+0300;6;0;Полный день;Полная занятость;"Компания Alloy Software – ведущий разработчик программных решений для технической поддержки и управления IT-активами. Мы ищем старшего разработчика в отдел веб-разработки. Предполагается, что это опытный специалист, который будет вести разработку нового облачного решения, а также поддерживать уже существующие продукты компании. Требования:  Опыт работы с C# (.Net Core) Знание JavaScript Опыт работы с Angular = 2 и / или с React Опыт работы с облачными платформами (предпочтительно AWS) Отличное знание принципов ООП, шаблонов проектирования Кандидат должен иметь 3 – 6 лет опыта проектирования и разработки приложений уровня Enterprise. Технический английский – intermediate low (reading)  Будет плюсом:  Опыт работы с SQL (T-SQL, PostgreSQL) Опыт работы с WebForms/MVC Опыт работы с JQuery, extJS Опыт вёрстки страниц HTML5, CSS3; Опыт разработки стилей с использованием LESS или SASS Опыт работы с Docker Понимание шаблонов интеграции корпоративных приложений, архитектурных фреймворков, концепции DDD  Обязанности:  Участие в проекте по разработке ПО в области IT Service Management, на Senior позиции. Поддержка работы приложений, сопровождение разработанного ПО Участие в проектировании архитектуры новых распределенных приложений Участие в составлении технической (не пользовательской) документации на разрабатываемое ПО Анализ требований к продукту, участие в их обсуждении Помощь другим разработчикам, контроль за общим качеством кода продукта Поддержка принятых в компании процедур разработки, отчеты о результатах Самому писать много хорошего кода  Условия:  Оформление в соответствии с ТК РФ Гибкий график работы (возможность выбора начала и окончания рабочего дня) Возможна удаленная работа Корпоративные мероприятия и активный досуг Компенсация расходов на профессиональное обучение, спорт ";  Оформление в соответствии с ТК РФ Гибкий график работы (возможность выбора начала и окончания рабочего дня) Возможна удаленная работа Корпоративные мероприятия и активный досуг Компенсация расходов на профессиональное обучение, спорт ;"Опыт работы с C# (.Net Core). Знание JavaScript. Опыт работы с Angular &gt;= 2 и / или с React. Опыт работы с...";Анализ требований к продукту, участие в их обсуждении. Помощь другим <highlighttext>разработчикам</highlighttext>, контроль за общим качеством кода продукта. Поддержка принятых в...;" SQL;C#; Git; C#; .NET Framework";9;16.0
3;26;.Net C# developer;Санкт-Петербург;107062.5;225000.0;Studio 8;2019-11-20T11:06:03+0300;1;3;Удаленная работа;Полная занятость;В настоящее время мы ищем себе в команду .Net С# разработчика в связи c увеличением штата. Обязанности:  Разработка backendа и поддержка существующего ПО. Проведение код-ревью. Написание тех. документации.  Требования:  Опыт программирования на языке С#, Net Core. Практический опыт программирования многопоточных приложений. Понимание микросервисной архитектуры. Опыт работы с EntityFramework, MySQL. Желателен опыт работы с RabbitMq, NetMq, GRPС.  Условия:  Заработная плата обсуждается индивидуально. График работы: 5/2, 40 часовая рабочая неделя, присутственные часы с 10 до 18 по Московскому времени. Удаленная работа. ;  Заработная плата обсуждается индивидуально. График работы: 5/2, 40 часовая рабочая неделя, присутственные часы с 10 до 18 по Московскому времени. Удаленная работа. ;Опыт программирования на языке С#, Net Core. Практический опыт программирования многопоточных приложений. Понимание микросервисной архитектуры. Опыт работы с EntityFramework, MySQL. ;"Разработка backend&#39;а и поддержка существующего ПО. Проведение код-ревью. Написание тех. документации.";"С#; Entity Framework; .NET Framework; LINQ; Design Patterns; MySQL; Git; MS Visual Studio";10;15.0
4;79;Senior asp.net developer/Ведущий asp.net разработчик/ C#;Екатеринбург;90000.0;200000.0;Аналитические решения;2019-11-18T12:03:35+0300;3;6;Полный день;Полная занятость;"В связи с развитием новых проектов мы в поисках крутых C# разработчиков, которые любят интересные задачи и готовы покорять новые вершины вместе с нами. Наши продукты - сложные высоконагруженные системы. У нас Вы можете выбрать удобный график работы или работать из дома. Каждый день наши разработчики сталкиваются с интересными задачами: финансовые сервисы, микросервисная архитектура, аналитические и интеграционные системы, машинное обучение, рекомендательные системы, анализ данных, поисковые системы, парсеры и многое другое. В разработке мы используем современные инструменты и методологии - SRCUM, TeamCity для CI\CD, Bitbucket и Git Flow для управления версиями, Jira для управления разработкой и есть своя база знаний на базe Confluense. Если эта вакансия для вас, но у вас недостаточно опыта или больше потребности — напишите об этом в сопроводительном. Рассматриваем кандидатов за рамками вакансии. Что мы предлагаем:  Высокую БЕЛУЮ зарплату и оформление строго по ТК РФ с первого рабочего дня; Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы; В решении задач использовать широкий стек технологий - .Net Core, C#, ASP.NET, WebAPI, Microservices, RabbitMQ, KAFKA, ElasticSearch, MS SQL Server, PostgreSQL, Vue.js Все, что нужно для комфортной работы:  Современное рабочее место с мощным ноутбуком, вторым монитором и любыми аксессуарами, которые сделают разработку удобной и быстрой; Возможность организовывать и участвовать в meetup встречах на территории офиса; Посещение конференций, например, HighLoad++, DevConf; Медицинское страхование (ДМС, включая стоматологию); Компенсация обедов; Лояльное руководство; Прозрачность рабочего процесса, демократичность; Гибкий график и возможность работать из дома; Возможны редкие командировки в центральный офис Москвы.    Чего мы ждем от Вас:  Опыт разработки с использованием C#, ASP.NET MVC от 3 лет; Опыт работы с MSSQL или PostgreSQL от 2 лет; Опыт разработки web приложений от 1 года; Уверенное знание html, css, javascript; Опыт работы с одним из js фреймоворков и пониманием паттернов, которые они используют; Желание и умение работать в команде; Уметь работать с требованиями и оценивать предстоящие задачи; Хороший технический английский. Чтение документации, статей, профессиональных книг на английском; Желание развиваться и развивать продукты, над которыми придется работать; Будет плюсом, если: работали с микросервисами .NET Core / Vue.js ";;Опыт разработки с использованием C#, ASP.NET MVC от 3 лет. Опыт работы с MSSQL или PostgreSQL от 2 лет. ;Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов. Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы. Возможность организовывать и участвовать в...;"JavaScript; Git; ASP.NET; MS SQL; C#; SQL; MVC; RabbitMQ; PostgreSQL; Высоконагруженные системы; Микросервисы; KAFKA; Python; NET Core; Vue.js";13;17.0
5;81;Senior asp.net developer/Ведущий asp.net разработчик/ C#;Екатеринбург;90000.0;200000.0;ОТС;2019-11-18T11:43:13+0300;3;6;Гибкий график;Полная занятость;"В связи с развитием новых проектов мы в поисках крутых C# разработчиков, которые любят интересные задачи и готовы покорять новые вершины вместе с нами. Наши продукты - сложные высоконагруженные системы. У нас Вы можете выбрать удобный график работы или работать из дома. Каждый день наши разработчики сталкиваются с интересными задачами: финансовые сервисы, микросервисная архитектура, аналитические и интеграционные системы, машинное обучение, рекомендательные системы, анализ данных, поисковые системы, парсеры и многое другое. В разработке мы используем современные инструменты и методологии - SRCUM, TeamCity для CI\CD, Bitbucket и Git Flow для управления версиями, Jira для управления разработкой и есть своя база знаний на базe Confluense. Если эта вакансия для вас, но у вас недостаточно опыта или больше потребности — напишите об этом в сопроводительном. Рассматриваем кандидатов за рамками вакансии. Что мы предлагаем:  Высокую БЕЛУЮ зарплату и оформление строго по ТК РФ с первого рабочего дня; Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы; В решении задач использовать широкий стек технологий - .Net Core, C#, ASP.NET, WebAPI, Microservices, RabbitMQ, KAFKA, ElasticSearch, MS SQL Server, PostgreSQL, Vue.js Все, что нужно для комфортной работы:  Современное рабочее место с мощным ноутбуком, вторым монитором и любыми аксессуарами, которые сделают разработку удобной и быстрой; Возможность организовывать и участвовать в meetup встречах на территории офиса; Посещение конференций, например, HighLoad++, DevConf; Медицинское страхование (ДМС, включая стоматологию); Компенсация обедов; Лояльное руководство; Прозрачность рабочего процесса, демократичность; Гибкий график и возможность работать из дома; возможны редкие командировки в центральный офис Москвы.    Чего мы ждем от Вас:  Опыт разработки с использованием C#, ASP.NET MVC от 3 лет; Опыт работы с MSSQL или PostgreSQL от 2 лет; Опыт разработки web приложений от 1 года; Уверенное знание html, css, javascript; Опыт работы с одним из js фреймоворков и пониманием паттернов, которые они используют; Желание и умение работать в команде; Уметь работать с требованиями и оценивать предстоящие задачи; Хороший технический английский. Чтение документации, статей, профессиональных книг на английском; Желание развиваться и развивать продукты, над которыми придется работать; Будет плюсом, если: работали с микросервисами .NET Core / Vue.js ";;Опыт разработки с использованием C#, ASP.NET MVC от 3 лет. Опыт работы с MSSQL или PostgreSQL от 2 лет. ;Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов. Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы. Возможность организовывать и участвовать в...;"JavaScript; Git; MS SQL; PostgreSQL; C#; MVC; ASP.NET; SQL; KAFKA; Высоконагруженные системы; Микросервисы; Python";14;17.0
6;19;Ведущий разработчик .NET;Екатеринбург;100000.0;180000.0;Экстенсив;2019-11-18T06:08:28+0300;1;3;Полный день;Полная занятость;Компания Xtensive ищет опытных и талантливых .Net разработчиков в проект ServiceTitan. Немного о проекте и о нас Компания Xtensive уже много лет сотрудничает с компанией ServiceTitan, работая над одноимённым проектом. С каждым годом наше сотрудничество только укрепляется и расширяется, поэтому работая у нас вы в полной мере сможете увидеть и ощутить, каково это создавать продукт, который делает жизнь сотен тысяч людей проще и комфортнее. Работать у нас Интересно   Мы используем самые современные технологии, фреймворки, инструменты и методологии разработки.   Мы любим, хотим и умеем развиваться. Если появляется технология, которая по объективным показателям превосходит то, что у нас используется сейчас, то мы её внедряем. То же самое касается и процессов разработки.   Быстрый рост проекта, а также его размер на данный момент, гарантирует наличие огромного количества сложных и интересных задач. Вам точно не придётся скучать без дела и придумывать себе работу.   Мы умеем слушать и слышать всех участников проекта, вне зависимости от его роли. Каждый может предложить, обосновать и “продать” идею, мысль, процесс, которые будут использованы в масштабе всей большой компании.   Большое количество разноплановых задач, команд и отделов позволяют находить место, где интересно работать именно Вам. Разнообразие задач велико и включает в себя работу над понятным, красивым и удобным пользовательским интерфейсом, сложной и запутанной бизнес-логикой, продумывание архитектуры отдельных компонентов и больших подсистем, настройка и поддержка сложной облачной архитектуры и сервисов, интеграция с разнообразными сторонними сервисами и инструментами, искусственный интеллект и машинное обучение, обработка сложных данных и многое другое.   Мы поощряем стремление развиваться. Если вы хотите “просто делать свою работу”, то наверное, нам не по пути. Проект и компания растут очень быстро, и каждый участник должен двигаться вперёд вместе с ними. Компания поддерживает развитие и готова помогать работнику в его стремлении расти и совершенствоваться. Если вы видите, что на текущем месте ваш рост как профессионала остановился, то просто скажите об этом нам и мы вместе найдём решение.   Работать у нас Удобно   Действительно гибкий рабочий график. Только команда решает, когда и в каком режиме они работают наиболее эффективно. Нам важен результат, а не время, когда вы приходите в офис или открываете ноутбук.   Возможность частичной или полностью удалённой работы. Удалённым работникам мы также можем предложить посетить наш офис в Екатеринбурге для обмена опытом.   Для работающих в офисе у нас созданы комфортные условия, которые удовлетворяют всем современным требованиям. Можно было бы написать про печеньки, теннисный стол, PS, и, конечно, мощные рабочие станции, но мы не будем так банальны. Хотя, всё же написали.   Работа у нас открывает Новые Перспективы   Работая у нас, у вас появляется возможность периодически посещать главный офис компании ServiceTitan в Лос-Анджелесе, США, в рамках командировок. В ходе поездки вы увидите, как работают передовые технологические компании, сможете обсудить любые рабочие вопросы и проекты, а также обменяться опытом и научиться чему-то новому у коллег и сами чему-то их научить.   Если вы действительно ценный специалист и не против значительных перемен в своей жизни ради открытия новых перспектив, мы можем предложить вам возможность оформления рабочей визы в США. Каждый случай рассматривается отдельно, но это не пустые слова, а вполне реальная возможность.   Работать у нас Выгодно   Мы готовы предложить вам трудоустройство в полном соответствии с ТК РФ, полностью официальной заработной платой и полным социальным пакетом.   Конкурентная заработная плата, которая обсуждается по результатам собеседования. Вилка очень гибкая и конкретная цифра зависит лишь от того, как вы себя проявите. Примерный ориентир это 100-180 т.р. в месяц “на руки”.   Кого мы хотим видеть в своей команде Мы верим, что вы - настоящий профессионал, и мы обязательно проверим это на собеседовании, поэтому вместо описания банальных (но от того не менее важных) требований, вроде ответственности, умения работать в команде и прочего, мы просто перечислим некоторые ключевые слова, чтобы вы знали, на что ориентироваться.   Высшее или незаконченное высшее техническое образование.   Хорошее знание английского языка - как минимум, свободное чтение.   Знание классических алгоритмов и структур данных, умение их использовать.   C# , ASP.NET MVC, .Net Core.   SQL (MSSQL или любая другая БД).   HTML5, CSS, JS, React.   Git, unit testing, debugging, profiling, Visual Studio, etc.   Agile, Scrum, Kanban.   Бонус: стек Windows Azure и разработка гибридных приложений на Apache Cordova.  ;;Высшее или незаконченное высшее техническое образование. Хорошее знание английского языка - как минимум, свободное чтение. Знание классических алгоритмов и структур данных...;;" SQL;C#; Git; C#; .NET Framework";30;17.0
7;29;Инженер-разработчик C#;Москва;150000.0;180000.0;Detego;2019-11-20T15:21:54+0300;3;6;Гибкий график;Полная занятость;"Detego - это инновационная компания, ведущий поставщик RFID-решений для сектора розничной торговли. Наши продукты позволяют повысить эффективность управления товарными запасами, а также взаимодействия с покупателями. Среди клиентов, над глобальными проектами которых мы работаем, - adidas, Levi’s, Estée Lauder, Marc O’Polo и другие. Ожидайте работу над уникальными проектами на стыке программных и аппаратных решений. Компания имеет головной офис в Лондоне, Великобритания, а также офис разработки в городе Грац, Австрия. С целью усиления технологического потенциала мы открыли офис разработки и клиентской поддержки в городе Москве и приглашаем вас присоединиться к нашей международной команде. Ваша область ответственности:   Проектирование, спецификация и реализация высокопроизводительных распределенных программных систем и приложений для крупных компаний с мировым именем; Активное участие в разработке клиент-серверных приложений по гибкой методологии.  Ваш профиль:   Уверенное владение .NET (C#, WCF, .NET Core, Entity Framework); Опыт интеграции и создания REST API; Хорошее знание реляционных баз данных, преимущественно Microsoft SQL; Преимуществом будет знание облачных технологий (Azure); Преимуществом будет опыт frontend-разработки (Angular, JavaScript, CSS); Абстрактное мышление и тяга к новым технологиям; Умение понятно излагать сложные концепции и идеи письменно и устно; Способность общаться в мультикультурной среде (желательно знание английского языка хотя бы на уровне intermediate).  Мы предлагаем:  Достойную денежную компенсацию; Интересный проект со сложными и разнообразными задачами; Простые и понятные пути решения возникающих вопросов; Современную технику для работы; Комфортабельный современный офис в центре Москвы в пешей доступности от метро; Возможны командировки, в том числе длительные (Европа, США); Прекрасные возможности для развития в молодой и динамично-растущей компании; Отличный шанс повысить свой уровень английского (либо немецкого, при желании); Возможность поучаствовать в становлении нового технологического рынка; Поддержку и всестороннее обучение. ";"  Достойную денежную компенсацию; Интересный проект со сложными и разнообразными задачами; Простые и понятные пути решения возникающих вопросов; Современную технику для работы; Комфортабельный современный офис в центре Москвы в пешей доступности от метро; Возможны командировки, в том числе длительные (Европа, США); Прекрасные возможности для развития в молодой и динамично-растущей компании; Отличный шанс повысить свой уровень английского (либо немецкого, при желании); Возможность поучаствовать в становлении нового технологического рынка; Поддержку и всестороннее обучение. ";Уверенное владение .NET (C#, WCF, .NET Core, Entity Framework). Опыт интеграции и создания REST API. Хорошее знание реляционных баз данных...;Проектирование, спецификация и реализация высокопроизводительных распределенных программных систем и приложений для крупных компаний с мировым именем. Активное участие в разработке...;".NET Framework; C#; WCF; Entity Framework; MS SQL; Английский язык; AngularJS; MS Visual Studio; ASP.NET; Git; JavaScript";33;15.0
8;69;Backend разработчик (.NET);Москва;150000.0;170000.0;АйТи Гео, ООО (IT GEO);2019-11-19T10:55:15+0300;1;3;Полный день;Полная занятость;Мы разработали и теперь развиваем платформу управления Умным городом, объединяющую геоинформационную систему и технологии машинного обучения. У нас амбициозные планы на развитие функционала платформы и для их реализации мы ищем backend разработчика (уровня middle), которому интересно как писать код, так и самостоятельно продумывать способ реализации задачи. Основное направление будущей работы - создание стабильного и функционального сервера приложений на уровне города, обеспечивающего работу большого числа пользователей. Пример рабочих проектов - сервисы взаимодействия для получения и предоставления больших объемов данных, функции анализа данных, построение индексных данных и их актуализация. Стек технологий   Backend: Платформа .NET, Языки программирования - C#, C++. Frontend: Angular, HTML, JavaScript, CSS, Gulp, Webpack, Babel, LESS, SASS, PostCSS. DBMS: PostgreSQL+PostGIS, Oracle. Система контроля версий: Git.  Трекер - Jira, база знаний - Confluence. Нам важно   Опыт коммерческой разработки на платформе .NET от 2 лет. Твердые знания С#, С++, .NET Framework, ASP.NET Web Services. Умение писать SQL запросы к БД. Умение работать с системами контроля версий и понимание того, зачем это все нужно.  Что у вас будет, если присоединиться к нашей команде?  Нетривиальные задачи: мы именно та компания, в которой применяются базовые знания алгоритмов (например, мы разработали и применяем собственные алгоритмы трехмерного моделирования). Уникальный опыт работы: возможность поучаствовать в разработке сложных, больших приложений и геоинформационных систем. Профессиональное развитие: наши разработчики не просто пишут код, а проектируют архитектуру фитчи, над которой работают, и участвуют в принятии решений, влияющих на стек технологий на проектах. Гибкий процесс разработки: короткие промежутки между релизами, задачи ставим в Jira, но, если хочется живого общения – все коллеги находятся в офисе. Адекватное отношение руководства к рабочему процессу: у нас нет дресс-кода, бюрократии и руководителей ради руководства, мы не гонимся за трендами, а рационально подходим к принятию решений и организации рабочего взаимодействия. Технически сильную команду: мы не просто пишем код или используем готовые решения, а разбираемся в тех технологиях, которые планируем использовать и адаптируем под наши задачи.  Условия работы  Белая заработная плата в вилке 150-170К на руки, уровень готовы обсуждать с каждым кандидатом отдельно. Новый офис в пешей доступности (идти 5 минут) от метро Бауманская. График работы 5/2 с 10:00 до 19:00. Собственный и уникальный для рынка продукт.  Мы будем очень рады, если вы прикрепите ссылку на github или портфолио реализованных проектов. Все возникающие вопросы можно написать в сопроводительном письме, и мы с радостью на них ответим;;Уникальный опыт работы: возможность поучаствовать в разработке сложных, больших приложений и геоинформационных систем. Профессиональное развитие: наши <highlighttext>разработчики</highlighttext> не просто пишут...;Основное направление будущей работы - создание стабильного и функционального сервера приложений на уровне города, обеспечивающего работу большого числа пользователей. ;"C++; C#; Git; SQL; .NET Framework; ASP.NET Web Services";36;16.0
9;91;Middle/Senior C# разработчик;Новосибирск;80000.0;160000.0;FullStack;2019-11-18T16:26:09+0300;3;6;Полный день;Полная занятость;В большой международный SaaS проект на платформе .NET требуется веб-разработчик. Основные требования:  C# ASP.NET MVC/Core React, Redux, TypeScript Entity Framework ООП SOLID HTTP, REST    Не технические требования:  Английский на уровне чтения/понимания без словаря В компании качество кода ценится превыше всего поэтому аккуратность, внимательность к деталям и перфекционизм будут оценены и даже где-то помогут компенсировать недостаток технических знаний    Обязанности и задачи:  Разработка frontend/backend    Условия:  40 часовая рабочая неделя в офисе (гибкий график) Устройство по ТК Оплачиваемые занятия спортом Оплачиваемое питание Офис в центре города рядом с метро Использование всего спектра современных инструментов доступных для улучшения качества разработки: ReSharper, CI, юнит и интеграционное тестирование, Upsource (code review), GitHub, Slack ;  40 часовая рабочая неделя в офисе (гибкий график) Устройство по ТК Оплачиваемые занятия спортом Оплачиваемое питание Офис в центре города рядом с метро Использование всего спектра современных инструментов доступных для улучшения качества разработки: ReSharper, CI, юнит и интеграционное тестирование, Upsource (code review), GitHub, Slack ;C#. ASP.NET MVC/Core. React, Redux, TypeScript. Entity Framework. ООП. SOLID. HTTP, REST. Английский на уровне чтения/понимания без словаря. ;Разработка frontend/backend.;" SQL;C#; Git; C#; .NET Framework";38;16.0
